Date,SequenceNumber,PacketNumber,NodeId,SrcNodeId,LqiValue,RssiValues
1164977141921,0,9,8,9,-47,205
1164977141921,0,9,8,4,-42,226
1164977145125,0,8,18,15,-50,200
1164977149671,0,8,19,18,-47,223
1164977150234,0,9,9,11,-45,200
1164977150234,0,9,9,6,-44,225
1164977151234,1,9,9,8,-46,226
1164977156000,0,9,10,14,-47,216
1164977156000,0,9,10,11,-40,230
1164977159703,0,9,11,12,-48,190
1164977159703,0,9,11,10,-44,234
1164977160718,1,9,11,15,-50,196
1164977165406,0,9,14,10,-48,220
1164977168218,0,10,2,3,-46,220
1164977168218,0,10,2,6,-45,214
1164977169250,1,10,2,8,-48,188
1164977169859,0,9,12,13,-47,217
1164977171500,0,10,3,7,-40,234
1164977171500,0,10,3,2,-49,214
1164977173343,0,9,16,17,-43,230
1164977173343,0,9,16,13,-47,224
1164977175296,0,9,13,16,-46,216
1164977175296,0,9,13,12,-45,225
1164977178031,0,9,17,16,-44,224
1164977178031,0,9,17,12,-48,192
1164977184875,0,10,4,8,-40,234
1164977184875,0,10,4,9,-46,215
1164977185656,1,10,4,5,-48,221
1164977188921,0,10,6,8,-47,224
1164977188921,0,10,6,9,-43,227
1164977189921,1,10,6,2,-49,209
1164977189921,1,10,6,7,-37,234
1164977190921,2,10,6,11,-45,201
1164977190921,2,10,6,12,-49,194
1164977193687,0,10,7,6,-38,231
1164977193687,0,10,7,8,-48,226
1164977194687,1,10,7,10,-49,204
1164977194687,1,10,7,3,-43,231
1164977195484,0,11,1,10,-50,194
1164977201921,0,10,8,10,-49,206
1164977201921,0,10,8,9,-42,230
1164977202921,1,10,8,5,-50,196
1164977202937,1,10,8,4,-37,232
1164977203937,2,10,8,7,-43,215
1164977203937,2,10,8,6,-45,211
1164977205000,0,9,18,15,-51,196
1164977205000,0,9,18,19,-48,204
1164977209687,0,9,19,18,-46,215
1164977210265,0,10,9,4,-42,221
1164977210265,0,10,9,11,-41,228
1164977211187,1,10,9,6,-39,234
1164977211187,1,10,9,8,-43,231
1164977216000,0,10,10,14,-42,235
1164977216000,0,10,10,7,-44,221
1164977217000,1,10,10,11,-34,235
1164977217000,1,10,10,12,-45,219
1164977218000,2,10,10,8,-48,221
1164977219718,0,10,11,12,-45,225
1164977219718,0,10,11,8,-48,207
1164977220718,1,10,11,10,-39,234
1164977220718,1,10,11,9,-45,217
1164977221718,2,10,11,15,-47,231
1164977221718,2,10,11,13,-50,191
1164977225390,0,10,14,11,-44,192
1164977225390,0,10,14,10,-43,232
1164977226406,1,10,14,17,-47,210
1164977228265,0,11,2,3,-45,222
1164977228265,0,11,2,6,-45,210
1164977229250,0,10,15,13,-48,211
1164977229250,0,10,15,11,-40,228
1164977229265,1,11,2,8,-49,209
1164977229859,0,10,12,10,-47,224
1164977229859,0,10,12,13,-43,233
1164977231234,1,10,15,18,-46,226
1164977231234,1,10,15,17,-47,215
1164977231500,0,11,3,7,-39,230
1164977231500,0,11,3,2,-49,194
1164977231875,1,10,12,14,-49,191
1164977231875,1,10,12,11,-42,221
1164977232875,2,10,12,17,-45,225
1164977233343,0,10,16,17,-38,233
1164977233343,0,10,16,13,-43,234
1164977235296,0,10,13,16,-41,228
1164977235296,0,10,13,11,-45,195
1164977236296,1,10,13,12,-39,235
1164977236296,1,10,13,8,-49,203
1164977237296,2,10,13,17,-47,208
1164977237296,2,10,13,15,-49,206
1164977238031,0,10,17,15,-49,203
1164977238031,0,10,17,16,-40,234
1164977239046,1,10,17,12,-45,227
1164977244656,0,11,4,8,-40,233
1164977244656,0,11,4,9,-46,216
1164977245656,1,11,4,5,-47,229
1164977247515,0,11,5,4,-43,216
1164977247515,0,11,5,7,-45,199
1164977248515,1,11,5,8,-50,197
1164977248921,0,11,6,9,-43,227
1164977248921,0,11,6,15,-50,204
1164977249921,1,11,6,2,-49,198
1164977249921,1,11,6,7,-36,231
1164977250937,2,11,6,12,-48,198
1164977250937,2,11,6,8,-47,214
1164977253703,0,11,7,6,-37,231
1164977253703,0,11,7,8,-47,216
1164977254687,1,11,7,3,-43,226
1164977261937,0,11,8,10,-50,190
1164977261937,0,11,8,9,-43,231
1164977262937,1,11,8,4,-37,234
1164977262937,1,11,8,7,-43,220
1164977263937,2,11,8,11,-44,212
1164977263937,2,11,8,6,-45,216
1164977265015,0,10,18,15,-47,225
1164977265015,0,10,18,19,-45,231
1164977269687,0,10,19,18,-41,235
1164977269687,0,10,19,20,-44,207
1164977270250,0,11,9,13,-49,197
1164977270250,0,11,9,4,-42,225
1164977271234,1,11,9,11,-41,227
1164977271250,1,11,9,6,-39,232
1164977272203,2,11,9,8,-43,235
1164977272203,2,11,9,10,-49,204
1164977276015,0,11,10,14,-42,233
1164977276015,0,11,10,7,-44,219
1164977277015,1,11,10,11,-34,234
1164977277015,1,11,10,12,-45,219
1164977278000,2,11,10,8,-48,216
1164977278531,0,10,20,19,-49,207
1164977278531,0,10,20,18,-49,203
1164977279531,1,10,20,17,-47,206
1164977279718,0,11,11,12,-45,224
1164977279718,0,11,11,8,-48,215
1164977280718,1,11,11,10,-39,235
1164977280718,1,11,11,9,-45,215
1164977281718,2,11,11,15,-47,227
1164977285390,0,11,14,10,-44,231
1164977285390,0,11,14,17,-48,195
1164977288234,0,12,2,3,-46,223
1164977288234,0,12,2,6,-45,208
1164977289250,0,11,15,13,-49,209
1164977289250,0,11,15,11,-42,231
1164977289265,1,12,2,8,-49,206
1164977289875,0,11,12,10,-47,217
1164977289875,0,11,12,13,-43,235
1164977290250,1,11,15,18,-46,225
1164977290250,1,11,15,17,-46,218
1164977291500,0,12,3,7,-40,232
1164977291500,0,12,3,2,-48,202
1164977291875,1,11,12,11,-42,224
1164977291875,1,11,12,17,-45,222
1164977293359,0,11,16,18,-48,201
1164977293359,0,11,16,17,-38,234
1164977294343,1,11,16,13,-42,233
1164977295296,0,11,13,16,-42,235
1164977295296,0,11,13,11,-44,189
1164977296296,1,11,13,12,-40,234
1164977296296,1,11,13,8,-49,213
1164977297296,2,11,13,17,-46,215
1164977297296,2,11,13,9,-48,191
1164977298046,0,11,17,15,-49,215
1164977298046,0,11,17,16,-39,233
1164977298296,3,11,13,15,-49,209
1164977299046,1,11,17,14,-48,205
1164977299046,1,11,17,12,-45,225
1164977304656,0,12,4,8,-40,236
1164977304656,0,12,4,9,-46,215
1164977305671,1,12,4,5,-47,224
1164977307515,0,12,5,4,-43,218
1164977307515,0,12,5,7,-45,200
1164977308515,1,12,5,8,-49,194
1164977308937,0,12,6,9,-42,232
1164977308937,0,12,6,2,-49,200
1164977309937,1,12,6,7,-37,233
1164977309937,1,12,6,12,-49,184
1164977310953,2,12,6,8,-47,221
1164977313703,0,12,7,6,-39,232
1164977313703,0,12,7,8,-47,218
1164977314703,1,12,7,3,-43,230
1164977321937,0,12,8,10,-49,194
1164977321937,0,12,8,9,-42,232
1164977322937,1,12,8,4,-37,234
1164977322937,1,12,8,7,-43,218
1164977323937,2,12,8,11,-44,207
1164977323937,2,12,8,6,-44,214
1164977329718,0,11,19,18,-42,235
1164977329718,0,11,19,15,-50,197
1164977330250,0,12,9,4,-42,222
1164977330250,0,12,9,11,-42,229
1164977330703,1,11,19,20,-43,212
1164977331234,1,12,9,6,-39,234
1164977331234,1,12,9,8,-43,234
1164977332234,2,12,9,10,-50,197
1164977336015,0,12,10,14,-42,232
1164977336015,0,12,10,7,-45,215
1164977337000,1,12,10,11,-34,234
1164977337000,1,12,10,12,-45,223
1164977338000,2,12,10,8,-48,214
1164977338531,0,11,20,19,-49,210
1164977338531,0,11,20,17,-47,210
1164977339718,0,12,11,12,-46,224
1164977339718,0,12,11,8,-48,210
1164977340734,1,12,11,10,-39,235
1164977340734,1,12,11,9,-46,214
1164977341718,2,12,11,15,-47,222
1164977341718,2,12,11,14,-48,212
1164977345406,0,12,14,11,-44,205
1164977345406,0,12,14,10,-44,230
1164977348250,0,13,2,3,-46,222
1164977348250,0,13,2,6,-45,216
1164977349250,0,12,15,13,-49,212
1164977349250,0,12,15,11,-40,226
1164977349875,0,12,12,10,-47,212
1164977349875,0,12,12,13,-43,233
1164977351250,1,12,15,18,-46,229
1164977351250,1,12,15,17,-46,209
1164977351500,0,13,3,7,-40,232
1164977351875,1,12,12,11,-41,226
1164977351875,1,12,12,17,-45,224
1164977353343,0,12,16,6,-47,195
1164977353343,0,12,16,18,-48,208
1164977354343,1,12,16,17,-38,233
1164977354343,1,12,16,13,-43,232
1164977355312,0,12,13,16,-41,230
1164977355312,0,12,13,12,-39,234
1164977356312,1,12,13,17,-47,206
1164977356312,1,12,13,15,-49,200
1164977358093,0,12,17,15,-50,209
1164977358093,0,12,17,13,-49,211
1164977359046,1,12,17,16,-39,234
1164977359046,1,12,17,14,-48,194
1164977360046,2,12,17,12,-45,224
1164977364656,0,13,4,8,-40,235
1164977364656,0,13,4,9,-46,213
1164977365671,1,13,4,5,-47,224
1164977367515,0,13,5,4,-43,221
1164977367515,0,13,5,7,-46,199
1164977368515,1,13,5,3,-49,195
1164977368937,0,13,6,9,-41,227
1164977368937,0,13,6,15,-51,197
1164977369937,1,13,6,2,-49,201
1164977369937,1,13,6,7,-37,235
1164977370937,2,13,6,11,-45,186
1164977370937,2,13,6,12,-49,192
1164977372937,3,13,6,8,-47,227
1164977373703,0,13,7,6,-39,233
1164977373703,0,13,7,8,-47,222
1164977374703,1,13,7,10,-49,205
1164977374703,1,13,7,3,-43,231
1164977381937,0,13,8,9,-42,230
1164977381937,0,13,8,4,-37,235
1164977382937,1,13,8,7,-43,220
1164977382937,1,13,8,11,-45,200
1164977383937,2,13,8,6,-45,206
1164977390250,0,13,9,4,-42,217
1164977390250,0,13,9,11,-41,223
1164977390687,1,12,19,20,-45,204
1164977391234,1,13,9,6,-39,232
1164977391234,1,13,9,8,-42,235
1164977392250,2,13,9,10,-49,202
1164977396015,0,13,10,14,-41,234
1164977396015,0,13,10,7,-44,211
1164977397000,1,13,10,11,-34,235
1164977397000,1,13,10,12,-45,226
1164977398000,2,13,10,8,-48,211
1164977398546,0,12,20,19,-50,198
1164977399718,0,13,11,12,-45,225
1164977399718,0,13,11,8,-48,211
1164977400718,1,13,11,10,-39,233
1164977400734,1,13,11,9,-45,216
1164977401734,2,13,11,15,-47,229
1164977405406,0,13,14,10,-43,231
1164977405406,0,13,14,17,-48,197
1164977408250,0,14,2,3,-47,222
1164977408250,0,14,2,7,-45,203
1164977409250,0,13,15,13,-49,213
1164977409250,0,13,15,11,-40,224
1164977409250,1,14,2,6,-47,200
1164977409250,1,14,2,8,-50,209
1164977409875,0,13,12,10,-48,218
1164977409875,0,13,12,13,-44,229
1164977410250,1,13,15,18,-45,226
1164977410250,1,13,15,17,-46,208
1164977410890,1,13,12,11,-42,222
1164977410890,1,13,12,17,-46,223
1164977411515,0,14,3,7,-39,230
1164977411515,0,14,3,2,-48,205
1164977413359,0,13,16,18,-49,204
1164977413359,0,13,16,17,-38,235
1164977414359,1,13,16,13,-43,230
1164977415343,0,13,13,16,-41,233
1164977415343,0,13,13,12,-40,235
1164977416312,1,13,13,8,-49,204
1164977416312,1,13,13,17,-47,208
1164977417312,2,13,13,15,-49,206
1164977418062,0,13,17,15,-50,203
1164977418062,0,13,17,16,-39,235
1164977419062,1,13,17,14,-48,212
1164977419062,1,13,17,12,-45,226
1164977424671,0,14,4,8,-40,234
1164977424671,0,14,4,9,-46,218
1164977425671,1,14,4,5,-47,217
1164977427531,0,14,5,4,-42,218
1164977427531,0,14,5,8,-49,195
1164977428937,0,14,6,9,-43,228
1164977428937,0,14,6,2,-48,203
1164977429937,1,14,6,7,-38,231
1164977429937,1,14,6,8,-47,222
1164977433703,0,14,7,6,-39,233
1164977433703,0,14,7,8,-48,223
1164977434703,1,14,7,10,-49,204
1164977434703,1,14,7,3,-43,233
1164977435515,0,15,1,10,-49,197
1164977441953,0,14,8,10,-49,203
1164977441953,0,14,8,9,-43,231
1164977442953,1,14,8,2,-50,188
1164977442953,1,14,8,5,-50,191
1164977443953,2,14,8,4,-37,232
1164977443953,2,14,8,7,-43,224
